population,window,events,LAD,customers,duration_mean_hours,gust_max_ms
event_master,Arwen,574,106,39696,8.712717770034844,22.200000762939453
event_master,Dudley,616,107,51771,9.458874458874458,27.700000762939453
event_master,Eunice,2291,109,592950,47.84468936417867,39.400001525878906
event_master,Franklin,1631,109,203436,38.98267933782955,32.20000076293945
event_master,Babet,1089,112,85997,11.77309458218549,24.0
event_master,Ciaran,990,110,107666,10.617912457912459,32.5
event_master,Henk,811,108,94503,12.410706946157008,29.700000762939453
main,Arwen,270,87,25061,11.019012345679014,22.200000762939453
main,Dudley,291,90,30092,15.853665521191296,27.700000762939453
main,Eunice,1659,101,395470,54.56398432790837,39.400001525878906
main,Franklin,1132,99,165963,45.924587750294464,32.20000076293945
main,Babet,509,106,56696,14.911067452521284,22.799999237060547
main,Ciaran,576,106,69801,14.302459490740741,32.5
main,Henk,494,95,68536,17.088933873144402,29.600000381469727
weather,Arwen,81,40,14800,5.517901234567901,22.200000762939453
weather,Dudley,121,45,22156,18.45633608815427,27.700000762939453
weather,Eunice,1398,79,364131,59.621506914639966,39.400001525878906
weather,Franklin,884,69,151854,49.93902714932128,32.20000076293945
weather,Babet,80,39,15516,7.181041666666667,22.799999237060547
weather,Ciaran,206,45,49112,8.853640776699029,32.5
weather,Henk,336,67,61405,12.242361111111112,29.600000381469727
