old_location,cell,old_numeric_token,old_context,new_value,unit,status,current_artifact,MR,CL,Word_status
D-P002,,"60,453","UK Power Networks records 60,453 weather- and asset-related outage incidents across London, the South East, and the East of England between April 2021 and March 2024, including seven named storms. Stage-level records are reconstructed into incident-level affected-customer counts and total restoration spans. Aggregating customer counts across eligible stages gives a mean almost twice that obtained from the earliest recorded stage alone. Quadratic regressions of log-transformed outcomes show positive gust curvature in both margins. For affected customers, the full-sample fitted minimum is approximately 10.7 m/s at mean pressure; this is a conditional feature of the response curve, not a physical damage threshold. Positive quadratic terms also appear in alternative distributional specifications and retrospective temporal analyses, but the temporal comparison is not a previously untouched validation because early model development used observations from both periods. Across the combined sample, gust contributes modestly to out-of-sample predictive fit. In the recovery model, its incremental contribution is smaller than that of affected customers; within weather-attributed incidents, this pairwise ordering reverses. Comparisons during the seven storms describe fitted performance and do not independently establish that reversal. The results characterise nonlinear variation in the consequences of recorded outages across a heterogeneous distribution network, complementing component-level fragility research while estimating a different quantity.",60436,events,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\core_metrics.csv,"MR10,MR13,MR19,MR26","CL01,CL02,CL03,CL04,CL05",not_modified
D-P002,,2021,"UK Power Networks records 60,453 weather- and asset-related outage incidents across London, the South East, and the East of England between April 2021 and March 2024, including seven named storms. Stage-level records are reconstructed into incident-level affected-customer counts and total restoration spans. Aggregating customer counts across eligible stages gives a mean almost twice that obtained from the earliest recorded stage alone. Quadratic regressions of log-transformed outcomes show positive gust curvature in both margins. For affected customers, the full-sample fitted minimum is approximately 10.7 m/s at mean pressure; this is a conditional feature of the response curve, not a physical damage threshold. Positive quadratic terms also appear in alternative distributional specifications and retrospective temporal analyses, but the temporal comparison is not a previously untouched validation because early model development used observations from both periods. Across the combined sample, gust contributes modestly to out-of-sample predictive fit. In the recovery model, its incremental contribution is smaller than that of affected customers; within weather-attributed incidents, this pairwise ordering reverses. Comparisons during the seven storms describe fitted performance and do not independently establish that reversal. The results characterise nonlinear variation in the consequences of recorded outages across a heterogeneous distribution network, complementing component-level fragility research while estimating a different quantity.",,requires_semantic_interpretation,citation_date_equation_index_or_definition; no model-derived replacement; source wording limits remain in MR,,"MR10,MR13,MR19,MR26","CL01,CL02,CL03,CL04,CL05",not_modified
D-P002,,2024,"UK Power Networks records 60,453 weather- and asset-related outage incidents across London, the South East, and the East of England between April 2021 and March 2024, including seven named storms. Stage-level records are reconstructed into incident-level affected-customer counts and total restoration spans. Aggregating customer counts across eligible stages gives a mean almost twice that obtained from the earliest recorded stage alone. Quadratic regressions of log-transformed outcomes show positive gust curvature in both margins. For affected customers, the full-sample fitted minimum is approximately 10.7 m/s at mean pressure; this is a conditional feature of the response curve, not a physical damage threshold. Positive quadratic terms also appear in alternative distributional specifications and retrospective temporal analyses, but the temporal comparison is not a previously untouched validation because early model development used observations from both periods. Across the combined sample, gust contributes modestly to out-of-sample predictive fit. In the recovery model, its incremental contribution is smaller than that of affected customers; within weather-attributed incidents, this pairwise ordering reverses. Comparisons during the seven storms describe fitted performance and do not independently establish that reversal. The results characterise nonlinear variation in the consequences of recorded outages across a heterogeneous distribution network, complementing component-level fragility research while estimating a different quantity.",,requires_semantic_interpretation,citation_date_equation_index_or_definition; no model-derived replacement; source wording limits remain in MR,,"MR10,MR13,MR19,MR26","CL01,CL02,CL03,CL04,CL05",not_modified
D-P002,,10.7,"UK Power Networks records 60,453 weather- and asset-related outage incidents across London, the South East, and the East of England between April 2021 and March 2024, including seven named storms. Stage-level records are reconstructed into incident-level affected-customer counts and total restoration spans. Aggregating customer counts across eligible stages gives a mean almost twice that obtained from the earliest recorded stage alone. Quadratic regressions of log-transformed outcomes show positive gust curvature in both margins. For affected customers, the full-sample fitted minimum is approximately 10.7 m/s at mean pressure; this is a conditional feature of the response curve, not a physical damage threshold. Positive quadratic terms also appear in alternative distributional specifications and retrospective temporal analyses, but the temporal comparison is not a previously untouched validation because early model development used observations from both periods. Across the combined sample, gust contributes modestly to out-of-sample predictive fit. In the recovery model, its incremental contribution is smaller than that of affected customers; within weather-attributed incidents, this pairwise ordering reverses. Comparisons during the seven storms describe fitted performance and do not independently establish that reversal. The results characterise nonlinear variation in the consequences of recorded outages across a heterogeneous distribution network, complementing component-level fragility research while estimating a different quantity.",10.807545499294342,m/s,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,"MR10,MR13,MR19,MR26","CL01,CL02,CL03,CL04,CL05",not_modified
D-P005,,1,1. Introduction,,requires_semantic_interpretation,cross_reference_or_caption; content changes recorded in coverage,,,,not_modified
D-P006,,1,"Storms and other extreme weather events are the most common cause of power disruptions in Great Britain [1]. In November 2021, Storm Arwen alone left more than one million customers without power [2]. Three months later, three named storms struck the United Kingdom within five days: Dudley, Eunice, and Franklin. Within the service area of UK Power Networks (UKPN), which covers London, the South East, and the East of England, Storm Eunice produced a peak observed gust of 39.4 m/s in Lewes, East Sussex, on 18 February 2022. This value is the highest gust recorded across the entire study period examined in this paper. The storm was associated with 1,601 weather-related outage events across 101 Local Authority Districts, a cumulative estimate of 376,712 affected customers, and a mean restoration time of 52.7 hours. Two days later, Storm Franklin affected the same network and produced a further 1,187 events.",,requires_semantic_interpretation,citation_date_equation_index_or_definition; no model-derived replacement; source wording limits remain in MR,,"MR05,MR27","CL01,CL02,CL05",not_modified
D-P006,,2021,"Storms and other extreme weather events are the most common cause of power disruptions in Great Britain [1]. In November 2021, Storm Arwen alone left more than one million customers without power [2]. Three months later, three named storms struck the United Kingdom within five days: Dudley, Eunice, and Franklin. Within the service area of UK Power Networks (UKPN), which covers London, the South East, and the East of England, Storm Eunice produced a peak observed gust of 39.4 m/s in Lewes, East Sussex, on 18 February 2022. This value is the highest gust recorded across the entire study period examined in this paper. The storm was associated with 1,601 weather-related outage events across 101 Local Authority Districts, a cumulative estimate of 376,712 affected customers, and a mean restoration time of 52.7 hours. Two days later, Storm Franklin affected the same network and produced a further 1,187 events.",,requires_semantic_interpretation,citation_date_equation_index_or_definition; no model-derived replacement; source wording limits remain in MR,,"MR05,MR27","CL01,CL02,CL05",not_modified
D-P006,,2,"Storms and other extreme weather events are the most common cause of power disruptions in Great Britain [1]. In November 2021, Storm Arwen alone left more than one million customers without power [2]. Three months later, three named storms struck the United Kingdom within five days: Dudley, Eunice, and Franklin. Within the service area of UK Power Networks (UKPN), which covers London, the South East, and the East of England, Storm Eunice produced a peak observed gust of 39.4 m/s in Lewes, East Sussex, on 18 February 2022. This value is the highest gust recorded across the entire study period examined in this paper. The storm was associated with 1,601 weather-related outage events across 101 Local Authority Districts, a cumulative estimate of 376,712 affected customers, and a mean restoration time of 52.7 hours. Two days later, Storm Franklin affected the same network and produced a further 1,187 events.",,requires_semantic_interpretation,citation_date_equation_index_or_definition; no model-derived replacement; source wording limits remain in MR,,"MR05,MR27","CL01,CL02,CL05",not_modified
D-P006,,39.4,"Storms and other extreme weather events are the most common cause of power disruptions in Great Britain [1]. In November 2021, Storm Arwen alone left more than one million customers without power [2]. Three months later, three named storms struck the United Kingdom within five days: Dudley, Eunice, and Franklin. Within the service area of UK Power Networks (UKPN), which covers London, the South East, and the East of England, Storm Eunice produced a peak observed gust of 39.4 m/s in Lewes, East Sussex, on 18 February 2022. This value is the highest gust recorded across the entire study period examined in this paper. The storm was associated with 1,601 weather-related outage events across 101 Local Authority Districts, a cumulative estimate of 376,712 affected customers, and a mean restoration time of 52.7 hours. Two days later, Storm Franklin affected the same network and produced a further 1,187 events.",39.400001525878906,"m/s cached proxy, observed/3-second semantics unverified",current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\storm_LAD_details.csv,"MR05,MR27","CL01,CL02,CL05",not_modified
D-P006,,18,"Storms and other extreme weather events are the most common cause of power disruptions in Great Britain [1]. In November 2021, Storm Arwen alone left more than one million customers without power [2]. Three months later, three named storms struck the United Kingdom within five days: Dudley, Eunice, and Franklin. Within the service area of UK Power Networks (UKPN), which covers London, the South East, and the East of England, Storm Eunice produced a peak observed gust of 39.4 m/s in Lewes, East Sussex, on 18 February 2022. This value is the highest gust recorded across the entire study period examined in this paper. The storm was associated with 1,601 weather-related outage events across 101 Local Authority Districts, a cumulative estimate of 376,712 affected customers, and a mean restoration time of 52.7 hours. Two days later, Storm Franklin affected the same network and produced a further 1,187 events.",,requires_semantic_interpretation,citation_date_equation_index_or_definition; no model-derived replacement; source wording limits remain in MR,,"MR05,MR27","CL01,CL02,CL05",not_modified
