Incident Reference,new_date_utc,fold,candidate_main_E0,candidate_main_R0c,candidate_weather_E0,candidate_weather_R0c
FREP-10004-I,2024-03-30,3,True,True,False,False
FREP-10004-L,2022-01-17,0,True,True,False,False
FREP-10008-I,2024-03-30,3,True,True,False,False
FREP-10011-I,2024-03-30,3,True,True,False,False
FREP-10019-I,2024-03-30,3,True,True,False,False
FREP-10020-I,2024-03-30,3,True,True,False,False
FREP-10022-I,2024-03-30,3,True,True,False,False
FREP-10023-I,2024-03-30,3,True,True,False,False
FREP-10031-L,2022-02-12,0,True,True,False,False
FREP-10032-I,2024-03-30,3,True,True,False,False
FREP-10034-I,2024-03-31,2,True,True,False,False
FREP-10043-I,2024-03-31,2,True,True,False,False
FREP-10043-O,2022-03-30,3,True,True,False,False
FREP-10052-L,2022-05-08,0,True,True,False,False
FREP-10062-I,2024-03-31,2,True,True,False,False
FREP-10063-I,2024-03-31,2,True,True,False,False
FREP-100701-Z,2022-11-29,2,True,True,False,False
FREP-10074-I,2024-03-31,2,True,True,False,False
FREP-10075-O,2022-11-27,3,True,True,False,False
FREP-10076-I,2024-03-31,2,True,True,False,False
FREP-10082-I,2024-03-31,2,True,True,False,False
FREP-10085-I,2024-03-31,2,True,True,False,False
FREP-10087-I,2024-03-31,2,True,True,False,False
FREP-10103-I,2024-03-31,2,True,True,False,False
FREP-10104-I,2024-03-31,2,True,True,False,False
FREP-10109-O,2023-05-04,4,True,True,False,False
FREP-10114-I,2024-03-31,2,True,True,False,False
FREP-10118-O,2022-04-19,4,True,True,False,False
FREP-10122-L,2022-03-05,4,True,True,False,False
FREP-10123-L,2022-03-05,4,True,True,False,False
FREP-101236-Z,2021-04-12,4,True,True,False,False
FREP-10127-L,2022-03-06,3,True,True,False,False
FREP-10131-L,2022-03-06,3,True,True,False,False
FREP-10133-L,2022-03-07,4,True,True,False,False
FREP-10137-L,2022-03-07,4,True,True,False,False
FREP-10146-L,2022-03-10,0,True,True,False,False
FREP-10160-L,2022-04-24,1,True,True,False,False
FREP-1018331-A,2021-04-09,4,True,True,False,False
FREP-10188-O,2022-04-27,0,True,True,False,False
FREP-10203-L,2022-04-28,2,True,True,False,False
FREP-10211-L,2023-02-21,3,True,True,False,False
FREP-10233-L,2022-04-20,2,True,True,False,False
FREP-10252-O,2022-05-04,4,True,True,False,False
FREP-10255-L,2022-05-17,0,True,True,False,False
FREP-10267-L,2022-05-13,0,True,True,False,False
FREP-10276-L,2022-05-15,1,True,True,False,False
FREP-10276-O,2022-05-06,1,True,True,False,False
FREP-10277-L,2022-06-06,1,True,True,False,False
FREP-102775-G,2024-01-31,4,True,True,False,False
FREP-10279-L,2022-05-12,0,True,True,False,False
FREP-10284-O,2022-05-06,1,True,True,False,False
FREP-10286-L,2022-05-21,3,True,True,False,False
FREP-10304-O,2022-02-21,3,True,True,False,False
FREP-10311-O,2022-09-23,0,True,True,False,False
FREP-10319-O,2022-06-17,3,True,True,False,False
FREP-10339-L,2022-07-11,1,True,True,False,False
FREP-10356-O,2022-05-19,1,True,True,True,True
FREP-103567-G,2024-01-30,1,True,True,True,True
FREP-10359-O,2022-05-19,1,True,True,True,True
FREP-10364-L,2022-07-14,1,True,True,False,False
FREP-10368-L,2022-06-28,2,True,True,False,False
FREP-10388-L,2023-02-21,3,True,True,False,False
FREP-10389-L,2023-02-21,3,True,True,False,False
FREP-1039241-A,2021-05-01,0,True,True,False,False
FREP-10394-L,2023-09-21,4,True,True,False,False
FREP-10399-L,2022-08-11,3,True,True,False,False
FREP-104267-Z,2023-06-13,4,True,True,False,False
FREP-10434-O,2022-05-23,4,True,True,False,False
FREP-10451-L,2023-04-01,2,True,True,False,False
FREP-10454-O,2022-05-26,3,True,True,False,False
FREP-10456-O,2022-05-26,3,True,True,False,False
FREP-10461-L,2022-09-08,2,True,True,False,False
FREP-10466-O,2022-05-26,3,True,True,False,False
FREP-10469-O,2022-05-27,1,True,True,False,False
FREP-10470-L,2022-09-02,1,True,True,False,False
FREP-10484-O,2022-05-28,4,True,True,False,False
FREP-10494-I,2023-10-10,2,True,True,False,False
FREP-10496-I,2023-09-12,1,True,True,False,False
FREP-10497-I,2023-10-05,0,True,True,False,False
FREP-10499-I,2023-10-26,1,True,True,False,False
FREP-10501-I,2023-12-12,4,True,True,False,False
FREP-10502-I,2024-01-15,4,True,True,False,False
FREP-10502-L,2022-09-20,3,True,True,False,False
FREP-10504-L,2022-08-17,1,True,True,False,False
FREP-10505-I,2024-03-12,0,True,True,False,False
FREP-10506-I,2024-02-28,1,True,True,False,False
FREP-10508-I,2023-05-18,2,True,True,False,False
FREP-10509-I,2023-08-24,3,True,True,False,False
FREP-10510-L,2022-09-05,0,True,True,False,False
FREP-10521-L,2022-09-27,2,True,True,False,False
FREP-10525-L,2022-10-31,0,True,True,False,False
FREP-10543-L,2022-09-15,2,True,True,False,False
FREP-10544-L,2022-09-17,3,True,True,False,False
FREP-105469-Z,2023-02-07,1,True,True,False,False
FREP-10569-O,2022-06-09,3,True,True,False,False
FREP-10571-O,2022-06-09,3,True,True,False,False
FREP-10589-L,2023-02-05,1,True,True,False,False
FREP-10602-L,2022-11-28,3,True,True,False,False
FREP-10605-L,2022-10-26,2,True,True,False,False
FREP-10608-L,2022-10-14,4,True,True,False,False
FREP-10610-L,2022-10-14,4,True,True,False,False
FREP-10614-L,2022-10-15,1,True,True,False,False
FREP-10626-L,2022-10-19,1,True,True,False,False
FREP-106320-G,2022-05-23,4,True,True,False,False
FREP-10681-L,2022-11-15,2,True,True,False,False
FREP-10706-O,2022-06-17,3,True,True,False,False
FREP-10710-L,2023-03-06,2,True,True,False,False
FREP-10721-L,2023-05-05,3,True,True,False,False
FREP-10733-L,2022-12-12,4,True,True,False,False
FREP-10744-L,2022-12-14,1,True,True,False,False
FREP-10762-L,2023-01-04,3,True,True,False,False
FREP-10763-L,2023-01-26,1,True,True,False,False
FREP-107636-Z,2021-04-27,0,True,True,False,False
FREP-10768-O,2022-06-27,2,True,True,False,False
FREP-10773-L,2023-01-06,3,True,True,False,False
FREP-10778-L,2023-01-07,4,True,True,False,False
FREP-10781-L,2023-01-07,4,True,True,False,False
FREP-10782-L,2023-01-08,1,True,True,False,False
FREP-10786-L,2023-01-10,0,True,True,False,False
FREP-10789-L,2023-01-10,0,True,True,False,False
FREP-107890-Z,2024-01-17,1,True,True,False,False
FREP-10790-L,2023-01-11,0,True,True,False,False
FREP-10792-L,2023-01-12,0,True,True,False,False
FREP-10793-L,2023-01-12,0,True,True,False,False
FREP-10793-O,2023-02-13,0,True,True,False,False
FREP-10795-L,2023-01-13,3,True,True,False,False
FREP-10797-L,2023-01-17,2,True,True,False,False
FREP-10798-L,2023-01-18,4,True,True,False,False
FREP-10799-L,2023-01-18,4,True,True,False,False
FREP-10801-L,2023-01-19,0,True,True,False,False
FREP-10803-L,2023-01-22,1,True,True,False,False
FREP-10804-L,2023-01-22,1,True,True,False,False
FREP-10805-L,2023-01-23,3,True,True,False,False
FREP-10807-L,2023-01-23,3,True,True,False,False
FREP-10816-L,2023-02-05,1,True,True,False,False
FREP-10823-L,2023-02-08,2,True,True,False,False
FREP-10834-L,2023-01-31,0,True,True,False,False
FREP-10835-L,2023-02-28,2,True,True,False,False
FREP-10847-L,2023-02-17,2,True,True,False,False
FREP-10848-O,2022-08-07,1,True,True,False,False
FREP-10861-L,2023-02-21,3,True,True,False,False
FREP-10874-L,2023-02-18,2,True,True,False,False
FREP-10875-L,2023-03-06,2,True,True,False,False
FREP-10883-O,2022-07-25,2,True,True,False,False
FREP-10895-O,2022-10-21,0,True,True,False,False
FREP-1091781-A,2022-05-11,2,True,True,False,False
FREP-10921-O,2022-08-09,0,True,True,False,False
FREP-1095018-A,2022-05-25,2,True,True,False,False
FREP-1095260-A,2022-05-24,0,True,True,False,False
FREP-10960-L,2023-05-25,0,True,True,False,False
FREP-10961-L,2023-06-15,2,True,True,False,False
FREP-10967-L,2023-04-19,3,True,True,False,False
FREP-109724-Z,2023-05-22,1,True,True,False,False
FREP-10987-O,2023-11-02,2,True,True,False,False
FREP-10998-O,2022-09-28,3,True,True,False,False
FREP-11013-L,2023-05-05,3,True,True,False,False
FREP-11031-L,2023-09-07,2,True,True,False,False
FREP-11041-L,2023-05-11,2,True,True,False,False
FREP-11042-L,2023-05-11,2,True,True,False,False
FREP-1104260-A,2022-11-12,4,True,True,False,False
FREP-11043-L,2023-05-11,2,True,True,False,False
FREP-11043-O,2022-07-20,0,True,True,False,False
FREP-11044-L,2023-05-11,2,True,True,False,False
FREP-11045-O,2022-07-24,3,True,True,False,False
FREP-11048-O,2022-07-20,0,True,True,False,False
FREP-11049-O,2022-08-03,2,True,True,False,False
FREP-11052-L,2023-05-12,0,True,True,False,False
FREP-11055-L,2023-05-12,0,True,True,False,False
FREP-11056-L,2023-05-13,2,True,True,False,False
FREP-11057-L,2023-05-14,0,True,True,False,False
FREP-11058-L,2023-05-14,0,True,True,False,False
FREP-11060-L,2023-07-05,4,True,True,False,False
FREP-1106384-A,2023-01-30,3,True,True,False,False
FREP-11066-L,2023-05-15,4,True,True,False,False
FREP-11084-L,2023-07-04,2,True,True,False,False
FREP-11110-O,2022-07-26,1,True,True,False,False
FREP-11115-O,2022-07-26,1,True,True,False,False
FREP-11120-O,2022-08-23,3,True,True,False,False
FREP-11122-O,2022-12-13,4,True,True,False,False
FREP-11138-L,2023-09-26,2,True,True,False,False
FREP-11143-L,2023-09-04,0,True,True,False,False
FREP-11147-L,2023-09-03,1,True,True,False,False
FREP-11150-O,2022-07-27,3,True,True,False,False
FREP-1115583-A,2021-08-04,0,True,True,False,False
FREP-11163-O,2022-08-10,1,True,True,False,False
FREP-11211-O,2022-10-24,4,True,True,False,False
FREP-11215-O,2022-09-07,1,True,True,False,False
FREP-112167-Z,2021-09-14,3,True,True,False,False
FREP-11217-O,2022-08-23,3,True,True,False,False
FREP-11218-O,2022-09-21,2,True,True,False,False
FREP-11225-O,2022-09-07,1,True,True,False,False
FREP-1122639-A,2022-08-09,0,True,True,False,False
FREP-11243-L,2023-11-13,3,True,True,False,False
FREP-11249-O,2022-09-07,1,True,True,False,False
FREP-11263-O,2022-08-04,3,True,True,False,False
FREP-1127464-A,2022-08-26,3,True,True,False,False
FREP-11287-O,2022-09-13,1,True,True,False,False
FREP-11289-L,2023-12-14,1,True,True,False,False
FREP-11303-L,2023-11-27,3,True,True,False,False
FREP-11314-L,2023-11-20,1,True,True,False,False
FREP-11332-O,2022-08-12,4,True,True,False,False
FREP-11342-L,2023-12-11,0,True,True,False,False
FREP-11343-O,2022-09-12,4,True,True,False,False
FREP-11344-L,2023-11-23,2,True,True,False,False
FREP-11350-O,2022-08-12,4,True,True,False,False
FREP-11355-O,2022-08-13,2,True,True,False,False
FREP-11358-O,2022-08-13,2,True,True,False,False
FREP-11368-L,2023-12-06,3,True,True,False,False
FREP-11382-L,2024-03-25,2,True,True,False,False
FREP-1138645-A,2023-03-16,4,True,True,False,False
FREP-11395-L,2024-01-02,4,True,True,False,False
FREP-11398-L,2024-01-10,3,True,True,False,False
FREP-11399-O,2022-09-21,2,True,True,False,False
FREP-11400-O,2022-09-21,2,True,True,False,False
FREP-11401-L,2024-01-02,4,True,True,False,False
FREP-114025-Z,2023-11-28,2,True,True,False,False
FREP-11410-L,2024-03-16,0,True,True,False,False
FREP-11417-L,2024-01-10,3,True,True,False,False
FREP-11420-L,2024-03-25,2,True,True,False,False
FREP-11425-O,2022-09-05,0,True,True,False,False
FREP-11440-L,2024-03-25,2,True,True,False,False
FREP-11454-O,2022-09-22,4,True,True,False,False
FREP-11463-O,2022-08-28,4,True,True,False,False
FREP-11465-O,2022-10-05,0,True,True,False,False
FREP-1146613-A,2022-11-04,4,True,True,False,False
FREP-11471-O,2022-10-05,0,True,True,False,False
FREP-11515-L,2024-03-25,2,True,True,False,False
FREP-1151564-A,2022-08-18,3,True,True,False,False
FREP-115225-Z,2022-02-06,1,True,True,False,False
FREP-11531-L,2024-03-21,3,True,True,False,False
FREP-1153507-A,2022-11-17,1,True,True,False,False
FREP-11538-L,2024-03-12,0,True,True,False,False
FREP-11547-O,2022-09-08,2,True,True,False,False
FREP-11551-L,2024-03-30,3,True,True,False,False
FREP-1157503-A,2021-05-10,1,True,True,False,False
FREP-11578-O,2023-07-02,2,True,True,False,False
FREP-11591-V,2024-01-31,4,True,True,False,False
FREP-11597-O,2022-09-27,2,True,True,False,False
FREP-11610-O,2022-09-14,2,True,True,False,False
FREP-11613-O,2023-07-09,1,True,True,False,False
FREP-116165-Z,2023-01-14,3,True,True,False,False
FREP-1164238-A,2022-06-01,3,True,True,False,False
FREP-11659-O,2022-10-07,4,True,True,False,False
FREP-11669-O,2022-10-21,0,True,True,False,False
FREP-1169181-A,2022-11-12,4,True,True,False,False
FREP-11720-O,2022-11-01,2,True,True,False,False
FREP-11721-O,2022-10-14,4,True,True,False,False
FREP-11722-O,2023-11-02,2,True,True,False,False
FREP-11728-O,2022-10-07,4,True,True,False,False
FREP-11731-O,2022-10-21,0,True,True,False,False
FREP-117368-G,2021-05-11,3,True,True,False,False
FREP-11737-O,2022-12-06,0,True,True,False,False
FREP-11745-O,2022-10-12,4,True,True,False,False
FREP-11756-O,2023-06-12,0,True,True,False,False
FREP-11763-O,2022-11-02,0,True,True,False,False
FREP-11765-O,2023-06-30,0,True,True,False,False
FREP-1177254-A,2022-05-26,3,True,True,False,False
FREP-11790-O,2022-11-04,4,True,True,False,False
FREP-11795-O,2023-06-11,1,True,True,False,False
FREP-11796-O,2022-11-07,2,True,True,False,False
FREP-11803-O,2022-10-18,4,True,True,True,True
FREP-11831-O,2022-11-23,3,True,True,False,False
FREP-11846-O,2022-10-28,0,True,True,False,False
FREP-11855-O,2022-11-17,1,True,True,False,False
FREP-11865-O,2022-11-29,2,True,True,False,False
FREP-11874-O,2022-11-18,0,True,True,False,False
FREP-11885-O,2022-10-21,0,True,True,False,False
FREP-11899-O,2023-11-02,2,True,True,False,False
FREP-119011-Z,2022-02-24,1,True,True,False,False
FREP-1190301-A,2021-11-19,4,True,True,False,False
FREP-11905-O,2022-10-26,2,True,True,False,False
FREP-11911-O,2023-03-23,4,True,True,False,False
FREP-11915-O,2022-10-31,0,True,True,False,False
FREP-11919-O,2022-12-02,0,True,True,False,False
FREP-11939-O,2022-10-30,0,True,True,False,False
FREP-1194242-A,2021-04-11,4,True,True,False,False
FREP-119490-Z,2022-03-28,4,True,True,False,False
FREP-11958-O,2022-12-05,3,True,True,False,False
FREP-11969-O,2022-11-03,4,True,True,False,False
FREP-11981-O,2022-11-02,0,True,True,True,True
FREP-1198809-A,2022-05-18,0,True,True,False,False
FREP-11992-O,2022-12-06,0,True,True,False,False
FREP-11995-O,2023-08-18,4,True,True,False,False
FREP-12007-O,2023-11-02,2,True,True,False,False
FREP-12009-O,2023-11-03,3,True,True,False,False
FREP-12014-O,2023-11-02,2,True,True,False,False
FREP-1201562-A,2022-05-26,3,True,True,False,False
FREP-12020-O,2022-12-07,1,True,True,False,False
FREP-1203315-A,2022-04-04,3,True,True,False,False
FREP-12034-O,2022-11-22,3,True,True,False,False
FREP-12051-O,2022-11-10,0,True,True,False,False
FREP-12060-O,2022-11-10,0,True,True,False,False
FREP-120637-Z,2023-06-11,1,True,True,False,False
FREP-12091-O,2022-11-13,2,True,True,False,False
FREP-12095-O,2022-11-13,2,True,True,False,False
FREP-12109-O,2022-12-20,4,True,True,False,False
FREP-1212940-A,2023-01-11,0,True,True,False,False
FREP-1212968-A,2023-04-12,0,True,True,False,False
FREP-121312-G,2021-05-19,1,True,True,False,False
FREP-12140-O,2022-11-15,2,True,True,False,False
FREP-12141-O,2022-11-15,2,True,True,True,True
FREP-12145-O,2022-11-15,2,True,True,True,True
FREP-12162-O,2023-04-04,1,True,True,False,False
FREP-121698-Z,2021-04-27,0,True,True,False,False
FREP-12180-O,2022-11-21,2,True,True,False,False
FREP-12216-O,2022-12-22,2,True,True,False,False
FREP-12229-O,2022-11-22,3,True,True,False,False
FREP-12232-O,2022-11-23,3,True,True,False,False
FREP-12235-O,2022-11-22,3,True,True,False,False
FREP-122410-Z,2023-04-14,3,True,True,False,False
FREP-12245-O,2022-12-30,0,True,True,False,False
FREP-122451-Z,2022-03-16,3,True,True,False,False
FREP-12268-O,2022-12-30,0,True,True,False,False
FREP-12281-O,2023-06-02,4,True,True,False,False
FREP-12294-O,2023-01-09,0,True,True,False,False
FREP-12295-O,2023-07-19,2,True,True,False,False
FREP-12324-O,2022-11-25,1,True,True,False,False
FREP-12325-O,2022-11-25,1,True,True,False,False
FREP-12355-O,2023-03-26,1,True,True,False,False
FREP-12380-O,2022-12-01,4,True,True,False,False
FREP-12387-O,2023-01-16,4,True,True,False,False
FREP-123954-Z,2021-07-30,2,True,True,True,True
FREP-12402-O,2023-01-20,4,True,True,False,False
FREP-124095-Z,2022-05-19,1,True,True,False,False
FREP-12424-O,2023-03-19,4,True,True,False,False
FREP-12431-O,2023-01-15,3,True,True,False,False
FREP-12432-O,2023-01-12,0,True,True,False,False
FREP-12439-O,2023-01-06,3,True,True,False,False
FREP-12441-O,2023-01-17,2,True,True,False,False
FREP-12456-O,2023-01-10,0,True,True,False,False
FREP-12457-O,2023-01-27,0,True,True,False,False
FREP-12461-O,2022-12-09,2,True,True,False,False
FREP-12471-O,2023-01-19,0,True,True,False,False
FREP-12489-O,2023-07-05,4,True,True,False,False
FREP-12491-O,2022-12-13,4,True,True,False,False
FREP-125095-Z,2024-03-21,3,True,True,False,False
FREP-12521-O,2023-07-25,1,True,True,False,False
FREP-12524-O,2023-03-23,4,True,True,False,False
FREP-12530-O,2023-03-10,4,True,True,False,False
FREP-12534-O,2023-01-26,1,True,True,False,False
FREP-12541-O,2023-01-25,1,True,True,False,False
FREP-12542-O,2023-01-22,1,True,True,False,False
FREP-12546-O,2023-03-18,4,True,True,False,False
FREP-12548-O,2023-01-25,1,True,True,False,False
FREP-12549-O,2023-11-02,2,True,True,False,False
FREP-12550-O,2023-01-26,1,True,True,False,False
FREP-12551-O,2022-12-18,4,True,True,False,False
FREP-12553-O,2022-12-18,4,True,True,False,False
FREP-125530-Z,2021-08-24,1,True,True,False,False
FREP-12554-O,2022-12-18,4,True,True,False,False
FREP-12555-O,2022-12-19,1,True,True,False,False
FREP-12556-O,2022-12-19,1,True,True,False,False
FREP-12558-O,2022-12-19,1,True,True,False,False
FREP-125605-Z,2023-08-31,3,True,True,False,False
FREP-125607-G,2023-01-12,0,True,True,False,False
