raw_driver,value,n_reference,mean_eta,exp_mean_eta,mean_exp_eta,interpretation
gust_0h,1.899999976158142,720,1.8346002080392898,6.262629895794391,6.892662802730764,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,2.324489788133271,720,1.822936249072843,6.190007195113715,6.812734115271254,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,2.7489796001083997,720,1.8119199055043276,6.122190182768333,6.738094577862335,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,3.1734694120835285,720,1.8015511773337431,6.059038822384604,6.668590066195265,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,3.5979592240586573,720,1.7918300645610885,6.000423586949656,6.604078022584468,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,4.022449036033786,720,1.7827565671863652,5.946225016419368,6.544426969070009,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,4.446938848008915,720,1.7743306852095726,5.896333312202713,6.489516061106261,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,4.871428659984044,720,1.7665524186307109,5.850647966596513,6.439234679717075,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,5.2959184719591725,720,1.7594217674497798,5.809077425420363,6.393482060191104,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,5.720408283934301,720,1.7529387316667795,5.771538782266781,6.352166955572927,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,6.14489809590943,720,1.7471033112817098,5.737957502937289,6.315207333376836,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,6.569387907884559,720,1.7419155062945708,5.708267178782157,6.282530104112096,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,6.993877719859688,720,1.7373753167053625,5.682409307800981,6.254070880361789,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,7.418367531834816,720,1.733482742514085,5.660333102493798,6.229773765303394,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,7.842857343809945,720,1.7302377837207388,5.641995323579089,6.209591169698472,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,8.267347155785075,720,1.727640440325323,5.6273601388163135,6.193483656512482,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,8.691836967760203,720,1.7256907123278376,5.6163990062875575,6.181419812454336,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,9.116326779735331,720,1.724388599728283,5.609090581605893,6.173376145849721,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,9.54081659171046,720,1.7237341025266593,5.605420648628016,6.169337010383305,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,9.96530640368559,720,1.7237272207229661,5.605382073356228,6.169294554363172,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,10.389796215660718,720,1.7243679543172044,5.608974780820439,6.173248695277084,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,10.814286027635847,720,1.725656303309373,5.616205754835261,6.18120711952517,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,11.238775839610977,720,1.7275922676994722,5.627089060631144,6.193185307327775,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,11.663265651586105,720,1.7301758474875022,5.641645890462205,6.209206582921534,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,12.087755463561233,720,1.7334070426734633,5.659904632397836,6.229302190271554,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,12.512245275536362,720,1.737285853257355,5.68190096261081,6.253511394643882,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,12.93673508751149,720,1.7418122792391768,5.707677961581991,6.281881610500644,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,13.36122489948662,720,1.7469863206189302,5.73728625475167,6.314468556301166,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,13.785714711461749,720,1.752807977396614,5.770784178260497,6.351336436916795,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,14.210204523436877,720,1.7592772495722284,5.808237970539889,6.392558154495656,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,14.634694335412007,720,1.7663941371457736,5.849721990632874,6.43821554874702,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,15.059184147387136,720,1.7741586401172498,5.895318964252945,6.488399667754148,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,15.483673959362264,720,1.7825707584866564,5.945120258720865,6.543211070570304,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,15.908163771337392,720,1.791630492253994,5.999226188058668,6.602760163005781,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,16.33265358331252,720,1.8013378414192625,6.057746349666883,6.667167568175551,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,16.75714339528765,720,1.8116928059824615,6.120799994166611,6.736564533548155,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,17.181633207262777,720,1.8226953859435915,6.188516430152975,6.811093376418168,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,17.606123019237906,720,1.834345581302652,6.261035465782124,6.890907969917716,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,18.030612831213038,720,1.8466433920596428,6.338507889301326,6.976174271888842,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,18.455102643188166,720,1.859588818214565,6.42109599083194,7.06707089915888,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,18.879592455163294,720,1.8731818597674175,6.5089741279296,7.1637897499971,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,19.304082267138423,720,1.887422516718201,6.602329337676248,7.266536677784413,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,19.72857207911355,720,1.9023107890669153,6.701361998305983,7.375532219200076,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,20.15306189108868,720,1.9178466768135605,6.806286543633171,7.491012380522693,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,20.57755170306381,720,1.9340301799581363,6.917332233838215,7.613229485958515,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,21.00204151503894,720,1.9508612985006433,7.034743986476196,7.742453092251248,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,21.426531327014068,720,1.96834003244108,7.158783271908149,7.878970974195426,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,21.851021138989196,720,1.9864663817794486,7.28972907771659,8.023090186074057,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,22.275510950964325,720,2.0052403465157465,7.427878947058233,8.175138204471686,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
