raw_driver,value,n_reference,mean_eta,exp_mean_eta,mean_exp_eta,interpretation
customers_v2_event_excl_reinterruptions,0.0,720,1.3771749506845217,3.963688181100216,4.127556584277605,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,0.15441513190162845,720,1.4550633966939324,4.284755096299197,4.461897178005997,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,0.33267429676345417,720,1.5289452435296362,4.613308338398977,4.804033601395961,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,0.5384593740800929,720,1.5988204911916328,4.9471937230991365,5.151722610986688,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,0.7760207812539672,720,1.664689139679922,5.284030399044294,5.502484925301157,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,1.050265264451332,720,1.726551188994504,5.621233866427006,5.853629195093444,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,1.366857245694911,720,1.7844066391353794,5.956044814980503,6.202282033573442,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,1.7323358194812157,720,1.8382554901025474,6.285563463315535,6.545423775414495,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,2.154249815445952,720,1.8880977418960083,6.60678890211288,6.879929446488099,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,2.641313716748726,720,1.9339333945157617,6.91666276917565,7.20261424454794,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,3.2035876546156894,720,1.9757624479618079,7.212116421520427,7.510282661528726,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,3.852685196763228,720,2.013584902234147,7.490120625211907,7.799780227678116,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,4.602013221498502,720,2.0474007573327793,7.747736663808843,8.068046732948757,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,5.4670488320108594,720,2.0772100132577043,7.982167676691091,8.312169687775238,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,6.465659030420087,720,2.103012670008922,8.190808983810774,8.529436728371529,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,7.618469754334988,720,2.1248087275864327,8.371296136968192,8.717385654562193,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,8.949291898240823,720,2.142598185990236,8.521549461546343,8.873850812979374,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,10.485613119035483,720,2.156381045220332,8.639813917177634,8.997004605665317,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,12.259165583782421,720,2.166157305276721,8.72469320986114,9.085393012466628,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,14.306581386307718,720,2.1719269661594027,8.775177228775298,9.137964162150784,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,16.670149170037437,720,2.1736900278683775,8.790662054077032,9.154089167375794,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,19.398687584850208,720,2.1714464904036452,8.770961981607526,9.133574646526252,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,22.548553618884966,720,2.1651963537652055,8.71631322975575,9.0766665838275,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,26.18480663203766,720,2.1549396179530587,8.627369225027252,8.984045420008497,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,30.38255213384402,720,2.1406762829672044,8.505187597869247,8.856812510503046,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,35.228493061001274,720,2.1224063488076435,8.351209250593385,8.696468327990114,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,40.82272059561302,720,2.100129815474375,8.167230076600037,8.50488301242288,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,47.28078151286956,720,2.0738466829673996,7.9553661068924715,8.284260076615928,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,54.736064758493,720,2.043556951286717,7.718013029317015,8.037094251913441,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,63.3425565498534,720,2.0092606204323267,7.457801162494,7.766124600634171,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,73.27802090638701,720,1.97095769040423,7.1775470658292795,7.474284125524405,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,84.74767130203868,720,1.9286481612024258,6.880203026684923,7.164647168606842,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,97.98840927640046,720,1.8823320328269144,6.568805684737047,6.840375911545762,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
