historical_construction_metric,value,scope
n_total_incidents_v3,135025,C01历史构建全事件范围，非最终回归n
n_stage_rows_unparseable_start_time,0,C01历史构建全事件范围，非最终回归n
n_incidents_unresolvable_no_parseable_start,0,C01历史构建全事件范围，非最终回归n
unresolvable_incident_ids,[],C01历史构建全事件范围，非最终回归n
n_incidents_with_tie_at_min_start_time,24893,C01历史构建全事件范围，非最终回归n
n_incidents_compared,135025,C01历史构建全事件范围，非最终回归n
n_representative_row_changed,12886,C01历史构建全事件范围，非最终回归n
pct_representative_row_changed,9.543417885576746,C01历史构建全事件范围，非最终回归n
time_diff_hours_stats_changed_only.mean,9.121835066480418,C01历史构建全事件范围，非最终回归n
time_diff_hours_stats_changed_only.median,3.7666666666666666,C01历史构建全事件范围，非最终回归n
time_diff_hours_stats_changed_only.std,52.855749901507224,C01历史构建全事件范围，非最终回归n
time_diff_hours_stats_changed_only.min,0.016666666666666666,C01历史构建全事件范围，非最终回归n
time_diff_hours_stats_changed_only.max,4506.366666666667,C01历史构建全事件范围，非最终回归n
gust_0h_diff_stats_changed_only.n_valid,11783,C01历史构建全事件范围，非最终回归n
gust_0h_diff_stats_changed_only.mean,0.25405244786599934,C01历史构建全事件范围，非最终回归n
gust_0h_diff_stats_changed_only.median,0.0,C01历史构建全事件范围，非最终回归n
gust_0h_diff_stats_changed_only.std,3.3082806854112317,C01历史构建全事件范围，非最终回归n
gust_0h_diff_stats_changed_only.n_abs_gt_1ms,6918,C01历史构建全事件范围，非最终回归n
