item,definition
unit,LAD-day including no-event days
location,"Mean incident lat/lon per LAD in main production, not polygon geometric centroid"
gust,Same-day event-hour gust observations; normalized exp(-0.5*(distance/BW)^2) weights
bandwidth_km,40.0
minimum_neighbours,5
fallback,"If fewer than KMIN weights > 0.001, nearest KMIN with weight 1/(distance_km+1), then normalize"
any_gt0,"n_inc>0, including zero-customer incidents"
wthr_gt0,"wmaxc>=0, including zero-customer weather incidents"
gt5_gt100_gt1000,At least one qualifying incident with customers strictly > threshold; no daily customer sum
weather,cause_group_official == weather_natural
model,p0+(1-p0)*Phi((ln(g)-ln(theta))/beta)
availability,"Same-day event anchors: retrospective proxy, not advance weather-only outage forecasting"
