task,comparison,development_macro_MSE_diff,P4_diff,P5_diff,five_process_macro_diff,process_range
E_log,S02-G02,1.7158636074866331,0.7739183988665328,0.03262422753231675,0.2684860734255314,"[-0.0516, 0.5082]"
E_log,P00-G02,0.16328848324248124,0.2687027111225895,-0.01869395385876782,0.0603844007094701,"[-0.0344, 0.2095]"
E_log,P02-P00,-0.04425423381174287,0.0245792258952493,-0.13357733233774383,0.0243145635941707,"[-0.0803, 0.0894]"
E_log,S03-S02,0.5549410174935989,-0.614610159197353,-0.1802738812424156,-0.1231996821102905,"[-0.2756, 0.0303]"
E_log,S04-S02,-0.5187834864105305,-0.0234790450623672,-0.0024336957895014777,-0.0351432243922052,"[-0.1405, 0.2100]"
E_log,S05-S02,-1.5181731782906809,-0.8464743147608482,-0.2599582545197059,-0.1937299803539297,"[-0.3695, 0.0921]"
E_log,S05-G05,0.16324671114074096,0.0008537605777076962,-0.13260455101349677,0.1120931553902949,"[-0.1057, 0.2166]"
E_log,S02-B01,0.6876918388530289,-0.10208738895874614,-0.13105997449325546,-0.1210177526143377,"[-0.3235, 0.0309]"
R_log,S02-G02,4.075071850080583,0.2037746402352818,0.04993770601865144,1.574320493537329,"[-0.4037, 7.5580]"
R_log,P00-G02,0.5507387932593271,0.6905175584188106,0.4368771741474582,0.3312734942243665,"[0.1582, 0.5773]"
R_log,P02-P00,-0.10477475738879871,0.20108048226108455,0.22321049421822847,-0.0135122854831488,"[-0.0899, 0.0835]"
R_log,S03-S02,-1.306382135865828,-0.13515759461406418,-0.010596942331499548,-0.0581113366811939,"[-0.2543, 0.1821]"
R_log,S04-S02,-0.5833446338431001,-0.10131219092796329,0.003279309102087513,-1.48650382922215,"[-7.0227, -0.0196]"
R_log,S05-S02,-3.87845436923124,-0.44156725755522763,-0.08889071050715591,-1.380678622133279,"[-7.5277, 1.4618]"
R_log,S05-G05,0.16442982218283264,-0.05118720114088293,0.11032842007327037,0.235594425461111,"[-0.0281, 1.0209]"
R_log,S02-B01,-3.3088686536551934,-0.08589139916976407,0.026434449077914035,1.4015652691134357,"[-0.1099, 6.9817]"
R_C_log,S02-G02,5.025374428381637,0.6223724579609433,0.01599948487449465,0.3214883959280813,"[-0.2299, 0.6328]"
R_C_log,P00-G02,0.5617247626808504,0.8738513000135106,0.4090679331757676,0.3298903009277618,"[0.1373, 0.5366]"
R_C_log,P02-P00,-0.051349247349337546,-0.0358340345213497,0.2813144398209366,-0.0027772837845161,"[-0.0506, 0.0714]"
R_C_log,S03-S02,-1.4458845995558391,-0.1824756681006563,-0.008798332583674906,1.5158242237970252,"[-0.2672, 8.1188]"
R_C_log,S04-S02,-0.7135928516754442,-0.13492278052534257,0.000868106749518649,-0.0923364887673117,"[-0.2881, 0.0004]"
R_C_log,S05-S02,-4.979257341235742,-0.864193765303312,-0.23484251230786457,-0.236361479390046,"[-0.7616, 1.2800]"
R_C_log,S05-G05,0.19549466565518214,0.19102663643122142,0.05585355080141263,0.2878339297804493,"[0.0073, 1.1333]"
R_C_log,S02-B01,-3.898343691015546,-0.12465591181179914,0.0063525014751859565,-0.0153280453394919,"[-0.1476, 0.1689]"
