path,bytes,sha256,scope
.gitattributes,719,a63fe567a13fc786b4c740d62ce82f77fc93e6c3a07f9d1abb288d6ed4a05a09,modification
AGENTS.md,5991,7d99d5c6b7a7dd7b8d907403770321c699e7688eb53596a8e7de06d31658dd27,modification
CLAUDE.md,4494,b547bef3dfbb64fcf7861c3235a899b55cb0a191ed2d970b2400db9cb34a02de,modification
LOG.md,148536,9c554291679189a2c78e8da60f2fc939f6e4c016c7834193fd8deb08ea6b7409,modification
README.md,7532,32bf43dcb85bef1a53a686c6dec895bfd2783d055570b6dbd0aaf9384dac6630,modification
analysis_new/appendix/__init__.py,81,bd46c3a7f7bfc5e224ad7bc276f90fc184d5bc990900a126e1675e19b0c2166e,modification
analysis_new/appendix/c_completion.py,34845,3337066c0d9009e3006835d33709b88c5079c6aa32945cc058327a8ea4461432,modification
analysis_new/appendix/c_models.py,7919,fdeb746fc34bec61f0925e115254b7045699f0da8136ea9da567ef50a0c5b128,modification
analysis_new/appendix/catalog.py,32913,ad7434dba4f45d5e752659d2a7ae54026cdbe312641e8470cb61ca87af872ade,modification
analysis_new/appendix/design_adapter.py,1441,7f4b4ed2c1647f6c759bcb45017c172d008dfe6b9a8abda11d00c5c3b8781529,modification
analysis_new/appendix/exporters.py,27377,c5b3143d779deac5b6294266ab1bc490ed11f0910e3402d23fd39a266fbc38ee,modification
analysis_new/appendix/f02_cov.py,25347,d8d847b635be4eebb31b65971a770de31981d8cafd538dfa7faa8562c81cb93f,modification
analysis_new/appendix/gi_completion.py,24823,795069ae29d328abbc55706896936a3a6e5d7db513db71460d33bf0d93126824,modification
analysis_new/appendix/gi_core.py,13299,fa4e68001d488bb4417216d3f5425db2361d2d0ec020c1b3017f91754a807735,modification
analysis_new/appendix/gi_outputs.py,12925,855c25755c2f4a4d1674bbfd1f2ed9d3875efe0de4fe3d6f0498f996508f9aab,modification
analysis_new/appendix/gi_storms.py,8924,97188b1a59069868d138d477c5b910cfba477ff1523b3d89c364ac7d59e96b4a,modification
analysis_new/appendix/h03_completion.py,23753,936b08811d44e31db59ba398261b40859056fca8d127bc3c0f62ed04378d16e0,modification
analysis_new/appendix/h03_evidence.py,8904,f7fc17f020cc077b1db658ba8f36c6664a344dd6fc491e98bafd6a47406da360,modification
analysis_new/appendix/h03_models.py,16543,ee35bd8c4aa79490b94b89b1bc1a44ba9739adb631963ef62cb7f880eb8d78b3,modification
analysis_new/appendix/j03_compare.py,27877,8ca5c5f35e41579646ec206052400611c96d7dcb0eb5dd37bcdac0b8592c1788,modification
analysis_new/appendix/j03_report.py,10484,651a88c8426978071a2664f67def9e9571be500b5bfdb53a6e5d377852c9244b,modification
analysis_new/appendix/mapping.py,7424,1ffdce6bc02ebb0c8ff2f497179986d92cc9e8b378cefb5d1f94d0e94fc066d9,modification
analysis_new/appendix/runner.py,29913,e4142984bc11212cd35324a1d5243e6b5d5d9ca102dcc96469f0c1cf7cd4510c,modification
analysis_new/appendix/source_fingerprints.json,21084,b75483043b637c93eb78956aa7aaca48045adf15ed532631515bc32da8edd792,modification
analysis_new/daily_aggregations.py,875,161239fe26d75759bba058dafb994e3963cddf818be9b0bf57161ae6e7036224,modification
analysis_new/dd_agg01.py,20234,ebb968d247c824d36208bbe5ccd9c588b81788f8193a71df4fe774d4c6e2bf17,modification
analysis_new/dd_agg01_evaluation.py,9038,08291b277a25165c96c66e7ca9d0ee1f44f2bee956eafabadf76e8ae863a7e42,modification
analysis_new/dd_agg01_report.py,14260,c5cdba2558c9349adaff68602660576ab5f816950715bd664f4e277e4d5f418b,modification
analysis_new/dd_dur01.py,18730,414d26b7e734b8e30eb5497435976bb9a65f1d2c52e80f96f0be757fe90fa7ad,modification
analysis_new/dd_dur01_outputs.py,13891,ad6f847438588470d353fc7de39a4d17b3920f712778954921a6016353bd0a39,modification
analysis_new/dd_time01.py,11033,c42445c29a5f9cff696c0806617e66d8c4b92db41b1b2f3750d63a3971397a7f,modification
analysis_new/dd_time01_outputs.py,13746,101aff0f76e5204233479e7b3320a015b712751071c831b57c3fe65f30f73454,modification
analysis_new/district_day_core.py,2956,837334b479bc5cc12433c1fd9af006abf19bba789340e509721605914c5e6121,modification
analysis_new/district_day_fragility.py,8877,da695df1697e7cc1bce6d5846b9a306b79c263898175c23ae33d6a7b2fcf4f7b,modification
analysis_new/duration_features.py,2284,e9e430c9eb12808771e93186cf77e54c716dbcfa0cb2aea34b8c4eee0f36d54e,modification
analysis_new/fragility_optimizer.py,10354,8de12747daa0966b8ab0a93508ca4e76dab58a3ebb9450d22f053e7a0fb2bca2,modification
analysis_new/grid_fragility_validation.py,10597,1ec3ffbcd9a1e1a86fd2339bf8b1c8d9b42e062cd3e1531c41ee7ed427c18634,modification
analysis_new/grid_weather.py,7294,ca884fb1aa19e57952f7bf218d9b4fcff6ae549ba30691759cf7c1853c03fb6b,modification
analysis_new/p03_p04_grid_weather.py,16810,c5f8c88ae3d5e2a45d5df761e3273b88e3ac96206405a79c49c4bd5a95ac1261,modification
analysis_new/runner.py,10392,cc22f8625359fc0c9057ac18659a495d6a028236d8357a355f1875d77784829b,modification
analysis_new/temporal_fragility.py,7440,78e75f9b1420723100d355397c01011cfe20cb1e17af7e5a5c85883702e7fac1,modification
dailylog.md,8788,fc4b23250a7122dfcffb26939d79ff73f1c6b7fbf6a2edae2df1691cd3c6205b,modification
docs/APPENDIX_PRODUCTION_GUIDE.md,14407,3995c55f2a670d98400bb684f6f8fed7cdea1fbaeae6b4a30a59f21e0a2c7f86,modification
docs/APPENDIX_PRODUCTION_RECEIPT.md,3089,d64c8be9034fa34593725784765158d025f623b3a2292a807511d59d72244f12,modification
docs/APPENDIX_PRODUCTION_VERIFICATION.json,3827,773f30329ab850b634a3f29b692bda293922a975492e938bf352d44ee625e073,modification
docs/NEW_ANALYSIS_GUIDE.md,13454,c5f659ff1a9cb0e239013ff895a151507ce7747b5cf6b98015d678bd150c3a45,modification
docs/milestones/2026-09-10_analysis-appendices-checkpoint.md,6235,9803861d176a700faa0aae142d362305e07ac73ebc9386a9e04304f9bfec0824,modification
docs/milestones/checkpoint_files.py,4604,7fbaec483627bf4b828fd586122b2af4477c2d3bf4ef8d2ee9182f48e924208d,modification
docs/milestones/publish_checkpoint.py,4618,2d9b146d95be349a30cd5e8d7b573e5b5e81043e225c5cd966857a61481413d4,modification
docs/new_analysis/2026-09-09_P03_P04_OFFLINE_CHECKS.json,2772,64997f406b5ad71b95a6a8e3df88e7c6180dba5a042b5d7e3c6aab621d2463f4,modification
docs/new_analysis/GI_PROTECTED_SNAPSHOT.json,107466,4b4fcfba5146773773684d9a84dd41507ae3b8df1b175f6aaf6ad21c796ee0c2,modification
docs/new_analysis/P03_P04_GRID_WEATHER.md,8919,64ff6724051aa39cd4194b2789d189f3a5fd7784c0ac9583d5fbf8bceea783d2,modification
docs/new_analysis/app_c_complete/DELIVERY_RECEIPT.md,2988,8eaadd1e6beaaaf355254b88083f8b1a8db0cbe5f1d7c62cd971a9f1fdabddd3,modification
docs/new_analysis/app_c_complete/FIRST_COVERAGE_BEFORE.csv,51739,3e228cf77413fad3abf91a802c27fdaddded72466aa2aa6dd56d4f57bb23c8d3,modification
docs/new_analysis/app_c_complete/FIRST_EXECUTION_PROTOCOL.json,11568,9ae4ac08ca0cdc015412252119dbf2e59ce64db447b2e85948611d7729f53461,modification
docs/new_analysis/app_c_complete/FIRST_VERIFICATION.json,478,ed5469d73c6f0f8f5f1b9707f05e0a76d23cd87b157a2910ce34f633f2281e35,modification
docs/new_analysis/app_c_complete/cache_export_console.log,7184,aed78e8d78957763690f2a2c8b8c22561851dfe32626d33a9f728972c4f17160,modification
docs/new_analysis/app_c_complete/export_integrity.json,2538,276ace94a31291fb971b88b22e349eaa8f5850909a9d06acebc7ffa8fb396c6f,modification
docs/new_analysis/app_c_complete/final_export_console.log,7184,b07b019fe116bd1a75a1e5c92a17804247b56fdb0f35f7723fdd9b62effe5906,modification
docs/new_analysis/app_c_complete/protected_before.json,23056,bd285f4c9d2f6b5599c8d58efde8b6b1e70bc563bbf4e7b94fcef823f9d44d37,modification
docs/new_analysis/app_c_complete/run_console.log,7184,17dd165d61ae8fbbaa1f13d1ff2a75f018a779bb23bb38acc5a9f761b9e10b40,modification
docs/new_analysis/app_c_complete/verification.json,479,8a1223853b6c7e867b3767191ca2ee600bc9f44a12a7590c0baeaa9a3ace5872,modification
docs/new_analysis/dd_agg01/20260909231634/FINDINGS.md,8063,3f7fa22b5fb0c0efdfb30e3e0d112383627561c2e3fb6b36448abac5205ad71c,modification
docs/new_analysis/dd_agg01/20260909231634/MANUSCRIPT_RECORD.md,2419,e7af985023ac79bb9189e47351858a0c25c54e89098ab09512d546c2d557bcc7,modification
docs/new_analysis/dd_agg01/20260909231634/REPORT.md,30727,a037e02ed4a0c6731ce9bc63cf277b699c21f52d17c5f5ee9b4f9969ffd7ba04,modification
