variable,source,observation_window,earliest_availability_evidence,contains_final_information,role,F1_status
gust_0h,historical hourly weather matched at floor(event proxy hour),event proxy hour,retrospective archive; live product not evidenced,False,F0,not available: no auditable timestamped operational/pre-forecast archive found in the verified event contract
pressure_msl_0h,same historical weather cache,event proxy hour,retrospective archive; live product not evidenced,False,F0,not available: no auditable timestamped operational/pre-forecast archive found in the verified event contract
temperature_0h,same historical weather cache,event proxy hour,retrospective archive; live product not evidenced,False,F0,not available: no auditable timestamped operational/pre-forecast archive found in the verified event contract
precipitation_24h_sum,24 hourly values ending at event proxy hour,proxy hours h-23..h,historical reconstruction,False,F0,not available: no auditable timestamped operational/pre-forecast archive found in the verified event contract
licence_area,event record/static network area,record metadata,no event-time snapshot,False,F0,not available: no auditable timestamped operational/pre-forecast archive found in the verified event contract
rural_urban_classification,static 2011 classification proxy,static,retrospective join,False,F0,not available: no auditable timestamped operational/pre-forecast archive found in the verified event contract
log_population,annual ONS estimate joined by LAD and proxy year,"annual, published/revised later",not exact onset-time information,False,F0,not available: no auditable timestamped operational/pre-forecast archive found in the verified event contract
deprivation_gap_pct,static regional proxy,static,retrospective join,False,F0,not available: no auditable timestamped operational/pre-forecast archive found in the verified event contract
morans_i,static regional proxy,static,retrospective join,False,F0,not available: no auditable timestamped operational/pre-forecast archive found in the verified event contract
income_deprivation_rate,static 2019 regional proxy,static,retrospective join,False,F0,not available: no auditable timestamped operational/pre-forecast archive found in the verified event contract
season_sin/cos,derived from event proxy UTC day of year,event proxy,deterministic,False,F0,not available: no auditable timestamped operational/pre-forecast archive found in the verified event contract
time_trend,derived from event proxy UTC date,event proxy,deterministic,False,F0,not available: no auditable timestamped operational/pre-forecast archive found in the verified event contract
I_storm,membership in frozen named-window union,retrospective condition label,known only under fixed historical window definition,False,P00/P02 only,not available: no auditable timestamped operational/pre-forecast archive found in the verified event contract
cause_group_event,full-stage retrospective consensus,final diagnosis timing unknown,not onset available,True,excluded from F0,not available: no auditable timestamped operational/pre-forecast archive found in the verified event contract
n_stages,full event aggregation,after event completion,not onset available,True,excluded from F0,not available: no auditable timestamped operational/pre-forecast archive found in the verified event contract
max_stage_end_utc,full event aggregation,after event completion,not onset available,True,label maturity/exclusion only,not available: no auditable timestamped operational/pre-forecast archive found in the verified event contract
log1p_final_C,full event customer aggregation,after event completion,not onset available,True,R_C only,not available: no auditable timestamped operational/pre-forecast archive found in the verified event contract
