margin,sample,n,term,VIF,controls,formula
E0,final_all,60437,z_precipitation_24h_sum,1.4408428009445042,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,z_temperature_0h,3.2068471950090527,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,z_pressure_msl_0h,1.89624010153291,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,z_gust_pressure,2.3106989573842136,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,urban_binary,1.1654306522772515,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,log_population,1.3393245671992535,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,income_deprivation_rate,2.5781440559355429,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,deprivation_gap_pct,3.7548401914545502,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,morans_i,2.5088745746769181,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,incident_year[2022],1.9548647742274652,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,incident_year[2023],1.8633809888747699,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,incident_year[2024],2.1778650065290899,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,incident_month[2],2.1147488959173777,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,incident_month[3],1.8617325099746538,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,incident_month[4],1.9879574133225733,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,incident_month[5],2.4728706779950063,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,incident_month[6],3.253777817101291,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,incident_month[7],3.5415959173282001,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,incident_month[8],3.0514160309318221,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,incident_month[9],2.8713574469154435,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,incident_month[10],2.7958165211781547,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,incident_month[11],2.3660145238983192,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,incident_month[12],2.1810172760148889,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
