raw_driver,value,n_reference,mean_eta,exp_mean_eta,mean_exp_eta,interpretation
gust_0h,2.799999952316284,9857,1.4625793788365693,4.317080565742126,5.114858148356083,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,3.4183672690878106,9857,1.4550354348258727,4.2846352882175625,5.076417125633667,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,4.036734585859337,9857,1.44913187598247,4.259415209029301,5.0465364862585504,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,4.655101902630864,9857,1.4448687023063609,4.241295233978548,5.025068019171831,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,5.273469219402391,9857,1.442245913797546,4.230185788807452,5.01190559718508,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,5.891836536173917,9857,1.441263510456024,4.226032080795651,5.006984302123171,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,6.510203852945445,9857,1.4419214922817964,4.228813648109961,5.010279890895753,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,7.128571169716971,9857,1.444219859274862,4.238544191715268,5.021808596346027,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,7.746938486488498,9857,1.4481586114352216,4.255271687912521,5.04162726058525,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,8.365305803260025,9857,1.4537377487628749,4.279078782798592,5.069833802347062,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,8.98367312003155,9857,1.4609572712578218,4.310083473191049,5.106568023744167,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,9.602040436803078,9857,1.4698171789200625,4.348440081876354,5.152012765738138,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,10.220407753574605,9857,1.480317471749597,4.394340538472181,5.206395425699471,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,10.83877507034613,9857,1.4924581497464249,4.4480159807948505,5.269989854700713,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,11.457142387117658,9857,1.506239212910547,4.509738695445925,5.343118656714956,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,12.075509703889184,9857,1.5216606612419623,4.579824420436287,5.42615591675478,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,12.693877020660711,9857,1.538722494740672,4.658635037115546,5.519530390258399,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,13.312244337432238,9857,1.557424713406675,4.7465816835391665,5.623729191793418,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,13.930611654203764,9857,1.5777673172399715,4.8441283267637445,5.739302027496623,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,14.548978970975291,9857,1.599750306240562,4.9517958374988895,5.866866022703696,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,15.167346287746817,9857,1.623373680408446,5.070166617160885,6.007111204062117,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,15.785713604518344,9857,1.6486374397436239,5.199889834779436,6.160806704195352,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,16.40408092128987,9857,1.6755415842460955,5.341687339530746,6.328807766846156,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,17.022448238061397,9857,1.704086113915861,5.496360324052099,6.512063641542483,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,17.640815554832926,9857,1.73427102875292,5.664796824299807,6.711626469396375,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,18.25918287160445,9857,1.766096328757273,5.847980153733361,6.9286612758883726,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,18.877550188375977,9857,1.799562013928919,6.046998383261254,7.1644572026658375,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,19.495917505147503,9857,1.8346680842678595,6.263054993919511,7.420440128789803,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,20.114284821919032,9857,1.8714145397740938,6.497480846961434,7.698186852844901,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,20.732652138690558,9857,1.9098013804476217,6.751747636251887,7.999441031277179,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,21.351019455462083,9857,1.9498286062884425,7.027483010968256,8.326131095703994,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,21.969386772233612,9857,1.9914962172965578,7.326487583062828,8.68039040328093,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,22.587754089005138,9857,2.0348042134719666,7.650754064258244,9.06457991013022,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,23.206121405776663,9857,2.0797525948146687,8.002488812135004,9.481313699050872,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,23.824488722548192,9857,2.126341361324665,8.384136104831027,9.933487740076378,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,24.442856039319718,9857,2.174570513001955,8.798405509828523,10.424312316893563,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,25.061223356091244,9857,2.224440049846539,9.248302765207875,10.957348614816933,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,25.679590672862773,9857,2.2759499718584166,9.737164652716446,11.536550038247883,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,26.2979579896343,9857,2.329100279037587,10.26869841233397,12.166308908879172,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,26.916325306405824,9857,2.3838909713840524,10.847026329236773,12.851509292134839,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,27.53469262317735,9857,2.440322048897811,11.4767362179505,13.597586810573302,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,28.15305993994888,9857,2.4983935115788634,12.162938637121195,14.410596431697552,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,28.771427256720404,9857,2.5581053594272087,12.911331794170515,15.297289366706433,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,29.38979457349193,9857,2.619457592442849,13.728275245003028,16.265200389585033,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,30.00816189026346,9857,2.6824502106257824,14.620873663269856,17.32274708656149,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,30.626529207034984,9857,2.747083213976009,15.59707215042776,18.479342779047524,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,31.24489652380651,9857,2.81335660249353,16.665764786627403,19.745525134255484,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,31.86326384057804,9857,2.881270376178345,17.836918388815764,21.133102793256146,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,32.48163115734957,9857,2.9508245350304536,19.121713752824096,22.655322713985942,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,33.099998474121094,9857,3.022019079049855,20.532707018283908,24.32706135569278,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
