raw_driver,value,n_reference,mean_eta,exp_mean_eta,mean_exp_eta,interpretation
customers_v2_event_excl_reinterruptions,0.0,9857,1.8400960071624084,6.297142802817801,7.286976323762306,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,0.1666808319159577,9857,1.8344432911849953,6.261647260709551,7.245901318312822,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,0.36114416356011114,9857,1.828416764011623,6.224024753740778,7.202365015245445,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,0.5880208050998608,9857,1.8220164256422913,6.184316099263278,7.156414647898445,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,0.8527134339937545,9857,1.8152422760770002,6.142564193537842,7.108099855298048,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,1.1615252504737046,9857,1.8080943153157496,6.09881393455498,7.057472592847541,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,1.5218100774300103,9857,1.8005725433585398,6.053112141634524,7.004587039288895,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,1.94214747907009,9857,1.7926769602053703,6.005507472005483,6.949499500170026,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,2.4325470685009307,9857,1.7844075658562415,5.956050334574046,6.892268308058154,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,3.0046868694693476,9857,1.7757643603111533,5.9047928010933495,6.832953719746588,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,3.6721914084354106,9857,1.7667473435701058,5.8517885149538715,6.771617810708053,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,4.450956159264015,9857,1.757356515633099,5.7970925978176355,6.708324367052958,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,5.359526066627555,9857,1.7475918765001324,5.740761554323223,6.6431387752552125,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,6.419537162004255,9857,1.7374534261712067,5.682853175091614,6.576127909911749,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,7.656231788598486,9857,1.7269411646463215,5.6234264382651125,6.507360019804604,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,9.099059704379439,9857,1.7160550919254771,5.562541409813358,6.436904612536246,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,10.782379377474332,9857,1.7047952080086728,5.500259142841171,6.364832338009857,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,12.74627617406118,9857,1.6931615128959092,5.436641576133291,6.291214871026538,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,15.037516922500203,9857,1.6811540065871866,5.3717514321704405,6.216124793270761,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
customers_v2_event_excl_reinterruptions,17.71066358500878,9857,1.6687726890825045,5.305652114850026,6.1396354749540185,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
