Incident Reference,date,fold
FREP-231661-Z,2021-04-17,2
FREP-232147-Z,2021-04-20,2
FREP-231824-Z,2021-04-19,1
FREP-231819-Z,2021-04-19,1
FREP-233329-Z,2021-04-27,1
FREP-233091-Z,2021-04-26,0
FREP-232573-Z,2021-04-22,0
FREP-232741-Z,2021-04-22,0
FREP-233497-Z,2021-04-27,1
FREP-233103-Z,2021-04-25,3
FREP-234395-Z,2021-05-02,2
FREP-234031-Z,2021-04-30,4
FREP-234409-Z,2021-05-02,2
FREP-75674-V,2021-12-12,3
FREP-75456-C,2023-06-03,1
FREP-75682-C,2023-06-10,1
FREP-75720-C,2023-06-12,0
FREP-14123-W,2022-02-19,1
FREP-75814-C,2023-08-11,3
FREP-14126-W,2022-02-20,3
FREP-75881-C,2023-06-16,2
FREP-13382-O,2023-03-11,0
FREP-75405-V,2021-11-26,3
FREP-13385-W,2021-07-15,2
FREP-13415-O,2023-04-28,0
FREP-75454-C,2023-06-03,1
FREP-75915-C,2023-06-17,1
FREP-13494-W,2021-08-17,1
FREP-13502-W,2021-08-17,1
FREP-75577-C,2023-06-06,2
FREP-13543-W,2021-08-19,3
FREP-76134-C,2023-06-22,1
FREP-13634-W,2021-09-05,0
FREP-13646-W,2021-09-08,2
FREP-14105-W,2022-02-18,0
FREP-75613-C,2023-06-07,0
FREP-13730-O,2023-05-09,3
FREP-75706-C,2023-06-12,0
FREP-13765-O,2023-04-11,2
FREP-75759-C,2023-06-12,0
FREP-75878-C,2023-06-15,3
FREP-13848-O,2023-04-17,1
FREP-75928-C,2023-06-19,1
FREP-14172-W,2022-02-20,3
FREP-75979-C,2023-06-23,0
FREP-14043-W,2022-02-06,0
FREP-76061-V,2022-01-07,4
FREP-14081-W,2022-02-18,0
FREP-14113-W,2022-02-18,0
FREP-14345-W,2022-02-18,0
FREP-239980-Z,2021-06-01,1
FREP-14344-W,2022-04-11,1
FREP-239793-Z,2021-05-30,2
FREP-239800-Z,2021-05-30,2
FREP-14193-O,2023-05-08,0
FREP-240324-Z,2021-06-02,3
FREP-14204-W,2022-02-21,3
FREP-14235-O,2023-05-12,1
FREP-14435-W,2022-06-16,4
FREP-240683-Z,2021-06-04,4
FREP-14318-O,2023-05-16,4
FREP-14337-W,2022-04-10,0
FREP-239896-Z,2021-05-31,1
FREP-14347-W,2022-02-18,0
FREP-240492-Z,2021-06-03,2
FREP-239954-Z,2021-05-31,1
FREP-14804-W,2022-11-01,1
FREP-239992-Z,2021-06-01,1
FREP-15046-W,2022-12-07,0
FREP-240024-Z,2021-06-01,1
FREP-240084-Z,2021-06-01,1
FREP-15193-O,2023-09-14,1
FREP-15372-O,2023-09-21,2
FREP-240399-Z,2021-06-02,3
FREP-14185-W,2022-02-20,3
FREP-240332-Z,2021-06-02,3
FREP-240631-Z,2021-06-03,2
FREP-14200-W,2022-02-19,1
FREP-14214-W,2022-02-21,3
FREP-240665-Z,2021-06-03,2
FREP-239786-J,2023-02-17,2
FREP-14300-O,2023-06-19,1
FREP-14325-O,2023-06-19,1
FREP-239864-Z,2021-05-30,2
FREP-14456-O,2023-06-06,2
FREP-14479-W,2022-07-19,3
FREP-239899-Z,2021-05-31,1
FREP-14505-O,2023-07-11,1
FREP-14661-W,2022-09-30,2
FREP-240408-Z,2021-06-03,2
FREP-14931-W,2022-11-14,0
FREP-14934-W,2022-11-14,0
FREP-240276-Z,2021-06-02,3
FREP-240404-Z,2021-06-02,3
FREP-15004-O,2023-09-14,1
FREP-240601-Z,2021-06-03,2
FREP-240737-Z,2021-06-04,4
FREP-152460-J,2022-08-11,3
FREP-154318-J,2022-04-29,0
FREP-15448-W,2023-03-29,3
FREP-240810-Z,2021-06-04,4
FREP-240866-Z,2021-06-04,4
FREP-240920-Z,2021-08-18,4
FREP-241437-Z,2021-06-08,1
FREP-240973-Z,2021-09-16,3
FREP-241060-Z,2021-06-05,4
FREP-241207-Z,2021-06-07,0
FREP-241144-Z,2021-06-06,3
FREP-241161-Z,2021-06-07,0
FREP-241180-Z,2021-06-07,0
FREP-159335-J,2022-01-14,1
FREP-241461-Z,2021-06-08,1
FREP-240749-Z,2021-06-04,4
FREP-240756-Z,2021-06-04,4
FREP-241462-Z,2021-06-08,1
FREP-16450-U,2022-04-02,1
FREP-240825-J,2023-06-08,1
FREP-240844-Z,2021-06-04,4
FREP-15540-W,2023-04-28,0
FREP-15541-W,2023-04-28,0
FREP-241332-Z,2021-06-09,3
FREP-240963-Z,2021-06-05,4
FREP-241020-Z,2021-06-05,4
FREP-240991-Z,2021-06-06,3
FREP-241006-Z,2021-06-06,3
FREP-15659-W,2023-06-21,1
FREP-241058-Z,2021-06-05,4
FREP-157154-J,2022-05-23,3
FREP-15775-W,2023-08-10,0
FREP-15801-W,2023-07-15,2
FREP-15804-W,2023-07-15,2
FREP-158897-J,2021-05-29,1
FREP-241126-Z,2021-06-06,3
FREP-241304-Z,2021-06-08,1
FREP-159912-J,2022-04-28,1
FREP-241198-Z,2021-06-07,0
FREP-160837-G,2023-09-28,4
FREP-241492-Z,2021-06-08,1
FREP-241536-Z,2021-06-08,1
FREP-242426-Z,2021-06-14,4
FREP-242561-Z,2021-06-14,4
FREP-242315-Z,2021-06-12,3
FREP-242322-Z,2021-06-12,3
FREP-241773-Z,2021-06-10,3
FREP-241782-Z,2021-06-10,3
FREP-241849-Z,2021-06-10,3
FREP-241988-Z,2021-06-10,3
FREP-17519-U,2021-04-16,3
FREP-18104-U,2021-07-17,0
FREP-242014-Z,2021-06-11,4
FREP-17702-U,2021-06-10,3
FREP-242032-Z,2021-06-11,4
FREP-178502-Z,2022-05-03,2
FREP-242215-Z,2021-06-11,4
FREP-17886-U,2021-07-01,0
FREP-242225-Z,2021-06-12,3
FREP-180479-J,2021-07-01,0
FREP-242336-Z,2021-06-12,3
FREP-18255-U,2021-07-28,0
FREP-242330-Z,2021-06-12,3
FREP-18299-U,2021-08-02,3
FREP-242377-Z,2021-06-13,3
FREP-241622-Z,2021-06-09,3
FREP-241811-J,2022-07-13,2
FREP-241834-J,2022-08-05,1
FREP-171014-J,2022-04-27,3
FREP-241906-Z,2021-06-10,3
FREP-242334-Z,2021-06-12,3
FREP-242035-Z,2021-06-11,4
FREP-242078-Z,2021-06-11,4
FREP-174247-Z,2022-02-11,4
FREP-242079-Z,2021-06-11,4
FREP-174641-J,2022-02-21,3
FREP-242167-Z,2021-06-11,4
FREP-18096-U,2021-07-16,3
FREP-17505-U,2021-04-16,3
FREP-242220-Z,2021-06-11,4
FREP-242228-Z,2021-06-12,3
FREP-17963-U,2021-07-06,2
FREP-18160-U,2021-07-23,0
FREP-18195-U,2021-07-23,0
FREP-179802-G,2022-11-09,4
FREP-242813-Z,2021-06-16,2
FREP-17833-U,2021-06-28,3
FREP-17834-U,2021-06-27,3
FREP-242734-Z,2021-06-15,1
FREP-242766-Z,2021-06-17,4
FREP-17864-U,2021-06-30,1
FREP-17979-U,2021-07-08,3
FREP-243234-Z,2021-06-17,4
FREP-18003-U,2021-07-13,0
FREP-242962-Z,2021-06-17,4
FREP-243440-Z,2021-06-18,3
FREP-180796-Z,2022-10-11,0
FREP-243358-Z,2021-06-18,3
FREP-182425-G,2021-04-18,2
FREP-18297-U,2021-08-02,3
FREP-243043-Z,2021-06-17,4
FREP-18424-U,2021-08-17,1
FREP-243102-Z,2021-06-17,4
FREP-18317-U,2021-08-06,2
FREP-18726-U,2021-09-09,4
FREP-243397-Z,2021-06-18,3
FREP-243438-Z,2021-06-18,3
FREP-18470-U,2021-08-24,3
FREP-243466-Z,2021-06-18,3
FREP-242635-Z,2021-06-15,1
FREP-18498-U,2021-08-26,0
FREP-242743-Z,2021-06-15,1
FREP-242826-Z,2021-07-19,2
FREP-19316-U,2021-11-04,2
FREP-243055-Z,2021-06-17,4
FREP-19029-U,2021-10-07,0
FREP-242806-Z,2021-06-16,2
FREP-19042-U,2021-10-08,0
FREP-242899-G,2021-05-28,3
FREP-242926-Z,2021-06-16,2
FREP-19514-U,2022-01-11,3
FREP-18999-U,2021-10-01,2
FREP-242987-Z,2021-06-16,2
FREP-243342-Z,2021-06-18,3
FREP-243034-Z,2021-06-17,4
FREP-19197-U,2021-10-23,2
FREP-243277-Z,2021-06-17,4
FREP-19593-U,2022-01-31,2
FREP-19298-U,2021-11-04,2
FREP-243326-Z,2021-06-18,3
FREP-243337-Z,2021-06-18,3
FREP-19159-U,2021-10-20,3
FREP-243382-Z,2021-06-18,3
FREP-19166-U,2021-10-20,3
FREP-243414-Z,2021-06-18,3
FREP-243467-Z,2021-06-18,3
FREP-193423-Z,2022-01-07,4
FREP-243573-Z,2021-06-18,3
FREP-243515-Z,2021-06-18,3
FREP-243971-Z,2021-06-20,1
FREP-243644-Z,2021-06-18,3
FREP-243655-Z,2021-06-18,3
FREP-18720-U,2021-09-09,4
FREP-187622-J,2021-07-21,3
FREP-243879-Z,2021-06-19,2
FREP-19281-U,2021-11-03,0
FREP-19209-U,2021-10-24,4
FREP-243944-Z,2021-06-20,1
FREP-195377-J,2023-02-12,3
FREP-195553-Z,2021-04-14,0
FREP-243750-Z,2021-06-18,3
