LAD21CD,status,mean_eta,exp_mean_eta,mean_exp_eta,interpretation,regional_proxy_flag
E06000031,descriptive_common_calendar,2.128706802025197,8.403991756036735,8.674469065208546,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000032,descriptive_common_calendar,2.133505878926358,8.444420090501199,8.71693071275759,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000033,descriptive_common_calendar,1.9938234589706416,7.343557946016318,7.579644577913726,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000034,descriptive_common_calendar,2.2309137242795063,9.308367476291425,9.607861145465291,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000035,descriptive_common_calendar,2.0433068980888076,7.71608335674798,7.964651913190243,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000043,descriptive_common_calendar,1.974652507413647,7.204115841971321,7.435787422999561,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000055,descriptive_common_calendar,2.178065442599759,8.829209114518886,9.113773670454759,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000056,descriptive_common_calendar,1.727323613549806,5.625577522854004,5.807150178976016,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000060,descriptive_common_calendar,2.109214960992772,8.241768634451054,8.50711883358178,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,True
E07000008,descriptive_common_calendar,2.2762339110969765,9.73992980838319,10.053063844110294,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000009,descriptive_common_calendar,1.7539687269925817,5.777486502771538,5.963769443085493,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000010,descriptive_common_calendar,1.8889352228249368,6.612324279382774,6.824745620522481,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000011,descriptive_common_calendar,1.9598863016548933,7.098519929303828,7.327129842254399,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000012,descriptive_common_calendar,1.740937432657686,5.702686802596574,5.8865790078903535,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000061,descriptive_common_calendar,2.2958302536798105,9.93267923331337,10.252341819405146,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000062,descriptive_common_calendar,2.0496848593566313,7.765453510643198,8.014755338589458,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000063,descriptive_common_calendar,2.438288280916408,11.453418918325228,11.821566140961247,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000064,descriptive_common_calendar,1.9356623141171663,6.928631466489912,7.151361755623315,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000065,descriptive_common_calendar,1.9155661575744996,6.790782361735877,7.009261050407694,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000066,descriptive_common_calendar,2.41803688628878,11.223804069826407,11.584832218388247,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000067,descriptive_common_calendar,1.8594515911457798,6.420214903106656,6.627062702342787,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000068,descriptive_common_calendar,2.222969652149873,9.234714074961573,9.531790613998348,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
