LAD21CD,status,mean_eta,exp_mean_eta,mean_exp_eta,interpretation,regional_proxy_flag
E06000031,descriptive_common_calendar,2.9994174658496227,20.07383981931326,21.157573786110337,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000032,descriptive_common_calendar,2.9882286523099646,19.85048921278713,20.92171455116714,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000033,descriptive_common_calendar,2.902197232263965,18.214122091006608,19.197856586054407,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000034,descriptive_common_calendar,3.121193557512966,22.673425536944084,23.897563430907045,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000035,descriptive_common_calendar,2.9986168016914903,20.057773847835882,21.140522972075637,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000043,descriptive_common_calendar,2.989886041328991,19.88341647473447,20.957102288570127,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000055,descriptive_common_calendar,3.140190107665016,23.108259498427547,24.355553045491188,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000056,descriptive_common_calendar,3.2086194630967078,24.74490138377129,26.080147375603545,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E06000060,descriptive_common_calendar,3.3242739276328814,27.778821883701625,29.27861260023634,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,True
E07000008,descriptive_common_calendar,3.320910120447473,27.685536268420627,29.180456682282355,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000009,descriptive_common_calendar,3.2446681391728807,25.653195356828782,27.03769419342854,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000010,descriptive_common_calendar,3.097402932298035,22.140376494289566,23.336375286926696,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000011,descriptive_common_calendar,3.347454539086709,28.430273310952376,29.96525261751533,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000012,descriptive_common_calendar,3.2877063997163734,26.78136740706986,28.22678827039089,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000061,descriptive_common_calendar,3.127417256314463,22.81497814175971,24.046454875220416,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000062,descriptive_common_calendar,2.7547693827664785,15.717415777866723,16.566313964270233,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000063,descriptive_common_calendar,3.3427108668460224,28.295728782522502,29.823789630453174,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000064,descriptive_common_calendar,3.152040566463832,23.38373198944176,24.646645781892282,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000065,descriptive_common_calendar,3.3095169465299477,27.371900186533356,28.849925069807973,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000066,descriptive_common_calendar,3.2059336766229274,24.67853103053481,26.01118439411029,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000067,descriptive_common_calendar,3.2413904044386412,25.56924864005527,26.94980007820598,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000068,descriptive_common_calendar,3.33128868817343,27.9743687225857,29.48488390781526,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000069,descriptive_common_calendar,3.1557328819932837,23.470231700043037,24.738075102192443,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000070,descriptive_common_calendar,3.1529433943829916,23.404853008424148,24.668591153223662,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000071,descriptive_common_calendar,3.201940482192832,24.58018135325952,25.906636608213297,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
